"originalUrl","archivedUrl","timestamp","referringDataPaths"
"https://learn.microsoft.com/en-us/appcenter/sdk/data-collected","https://web.archive.org/web/20231110171107/https://learn.microsoft.com/en-us/appcenter/sdk/data-collected","2023-11-10T17:11:07.000Z","microsoft/appcenter-logs#appId;microsoft/appcenter-logs#appVersion;microsoft/appcenter-logs#trackerSdkVersion;microsoft/appcenter-logs#userId;microsoft/appcenter-logs#sessionId;microsoft/appcenter-logs#installationId;microsoft/appcenter-logs#manufacturer;microsoft/appcenter-logs#model;microsoft/appcenter-logs#osName;microsoft/appcenter-logs#osVersion;microsoft/appcenter-logs#language;microsoft/appcenter-logs#timezone;microsoft/appcenter-logs#screenWidth;microsoft/appcenter-logs#screenHeight;microsoft/appcenter-logs#carrier"
"https://documentation.onesignal.com/v9.0/docs/users","https://archive.ph/CpCGy","2023-11-10T17:53:47.000Z","onesignal/players#userId;onesignal/players#installationId"
"https://documentation.onesignal.com/v9.0/reference/csv-export","https://archive.ph/12W5U","2023-11-10T17:53:52.000Z","onesignal/players#isRooted"
"https://documentation.onesignal.com/v9.0/reference/add-a-device","https://archive.ph/5aV7Z","2023-11-10T17:54:08.000Z","onesignal/players#appVersion;onesignal/players#pushNotificationToken;onesignal/players#osName;onesignal/players#osVersion;onesignal/players#timezone;onesignal/players#model;onesignal/players#language;onesignal/players#latitude;onesignal/players#longitude"
"https://bugsnagsessiontrackingapi.docs.apiary.io/","https://archive.ph/9hHGI","2023-11-10T18:36:29.000Z","smartbear/bugsnag-sessions#trackerSdkVersion;smartbear/bugsnag-sessions#appVersion;smartbear/bugsnag-sessions#osName;smartbear/bugsnag-sessions#osVersion;smartbear/bugsnag-sessions#isRooted;smartbear/bugsnag-sessions#manufacturer;smartbear/bugsnag-sessions#model;smartbear/bugsnag-sessions#userAgent;smartbear/bugsnag-sessions#deviceId;smartbear/bugsnag-sessions#userId;smartbear/bugsnag-sessions#sessionId;smartbear/bugsnag-sessions#startTime"
"https://bugsnagerrorreportingapi.docs.apiary.io/","https://archive.ph/fQoPe","2023-11-10T18:36:05.000Z","smartbear/bugsnag-notify#trackerSdkVersion;smartbear/bugsnag-notify#userId;smartbear/bugsnag-notify#deviceId;smartbear/bugsnag-notify#sessionId;smartbear/bugsnag-notify#appId;smartbear/bugsnag-notify#appVersion;smartbear/bugsnag-notify#timeSpent;smartbear/bugsnag-notify#isInForeground;smartbear/bugsnag-notify#architecture;smartbear/bugsnag-notify#manufacturer;smartbear/bugsnag-notify#model;smartbear/bugsnag-notify#osName;smartbear/bugsnag-notify#osVersion;smartbear/bugsnag-notify#ramFree;smartbear/bugsnag-notify#ramTotal;smartbear/bugsnag-notify#isRooted;smartbear/bugsnag-notify#orientation;smartbear/bugsnag-notify#viewedPage;smartbear/bugsnag-notify#startTime"
"https://github.com/firebase/firebase-android-sdk/blob/bb0823ffc999ccfc38d75a165f6c0391ed884f6b/transport/transport-backend-cct/src/test/proto/google/cct/google_cct.proto","https://web.archive.org/web/20240502075455/https://github.com/firebase/firebase-android-sdk/blob/bb0823ffc999ccfc38d75a165f6c0391ed884f6b/transport/transport-backend-cct/src/test/proto/google/cct/google_cct.proto","2024-05-02T07:54:55.000Z","google/googledatatransport-firelog-batchlog-json#osVersion;google/googledatatransport-firelog-batchlog-json#model;google/googledatatransport-firelog-batchlog-json#manufacturer;google/googledatatransport-firelog-batchlog-json#appVersion;google/googledatatransport-firelog-batchlog-json#carrier;google/googledatatransport-firelog-batchlog-json#language;google/googledatatransport-firelog-batchlog-json#country"
"https://github.com/firebase/firebase-android-sdk/blob/132b8ba8563aa00b06e27b56ee811e738d14c791/firebase-perf/src/main/proto/firebase/perf/v1/perf_metric.proto","https://web.archive.org/web/20240502081000/https://github.com/firebase/firebase-android-sdk/blob/132b8ba8563aa00b06e27b56ee811e738d14c791/firebase-perf/src/main/proto/firebase/perf/v1/perf_metric.proto","2024-05-02T08:10:00.000Z","google/googledatatransport-firelog-batchlog-json#appId"
"https://github.com/firebase/firebase-android-sdk/blob/132b8ba8563aa00b06e27b56ee811e738d14c791/firebase-perf/src/main/proto/firebase/perf/v1/perf_metric.proto","https://web.archive.org/web/20240502081000/https://github.com/firebase/firebase-android-sdk/blob/132b8ba8563aa00b06e27b56ee811e738d14c791/firebase-perf/src/main/proto/firebase/perf/v1/perf_metric.proto","2024-05-02T08:10:00.000Z","google/googledatatransport-firelog-batchlog-json#trackerSdkVersion"
"https://github.com/firebase/firebase-android-sdk/blob/132b8ba8563aa00b06e27b56ee811e738d14c791/firebase-perf/src/main/proto/firebase/perf/v1/perf_metric.proto","https://web.archive.org/web/20240502081000/https://github.com/firebase/firebase-android-sdk/blob/132b8ba8563aa00b06e27b56ee811e738d14c791/firebase-perf/src/main/proto/firebase/perf/v1/perf_metric.proto","2024-05-02T08:10:00.000Z","google/googledatatransport-firelog-batchlog-json#appVersion"
